SQL_TEXT,ELAPSED_TIME
SELECT SUM(seat_no) FROM boarding_passes,686
"SELECT aircraft_code, MIN(fare_conditions) FROM seats GROUP BY aircraft_code",13467
"SELECT t1.passenger_name, t2.boarding_no FROM tickets t1 JOIN boarding_passes t2 ON t1.passenger_name = t2.boarding_no",111126
"SELECT t1.passenger_name, t2.boarding_no FROM tickets t1 JOIN boarding_passes t2 ON t1.passenger_name = t2.boarding_no",1095
"SELECT range, MIN(model) FROM aircrafts_data GROUP BY range",5915
"SELECT seat_no, seat_no FROM boarding_passes WHERE seat_no = '734583'",53510
"SELECT book_date, book_date FROM bookings WHERE book_date > DATE '2022-01-01'",37424
SELECT SUM(seat_no) FROM boarding_passes,10856
"SELECT t1.timezone, t2.model FROM airports_data t1 JOIN aircrafts_data t2 ON t1.timezone = t2.model",6941
"SELECT t1.coordinates, t2.seat_no FROM airports_data t1 JOIN boarding_passes t2 ON t1.coordinates = t2.seat_no",81927
SELECT LOWER(city) FROM airports_data,5029
"SELECT t1.*, t2.* FROM seats t1 LEFT JOIN bookings t2 ON t1.fare_conditions = t2.book_ref",39972
"SELECT t1.*, t2.* FROM boarding_passes t1 RIGHT JOIN tickets t2 ON t1.seat_no = t2.passenger_id",178338
SELECT UPPER(contact_data) FROM tickets,13168
"SELECT passenger_name, COUNT(passenger_id) FROM tickets GROUP BY passenger_name",121941
SELECT * FROM airports_data ORDER BY airport_code,3493
"SELECT aircraft_code, range FROM aircrafts_data WHERE aircraft_code = '365991'",567
"SELECT timezone, MIN(coordinates) FROM airports_data GROUP BY timezone",645
"SELECT aircraft_code, seat_no FROM seats WHERE aircraft_code = '447572'",546
"SELECT t1.seat_no, t2.aircraft_code FROM boarding_passes t1 JOIN flights t2 ON t1.seat_no = t2.aircraft_code",28031
"SELECT t1.amount, t2.total_amount FROM ticket_flights t1 JOIN bookings t2 ON t1.amount = t2.total_amount",50273
"SELECT t1.aircraft_code, t2.seat_no FROM flights t1 JOIN seats t2 ON t1.aircraft_code = t2.seat_no",4111
"SELECT t1.aircraft_code, t2.ticket_no FROM seats t1 JOIN boarding_passes t2 ON t1.aircraft_code = t2.ticket_no",71534
"SELECT t1.ticket_no, t2.aircraft_code FROM tickets t1 JOIN seats t2 ON t1.ticket_no = t2.aircraft_code",41737
"SELECT t1.timezone, t2.flight_no FROM airports_data t1 JOIN flights t2 ON t1.timezone = t2.flight_no",2835
"SELECT t1.status, t2.seat_no FROM flights t1 JOIN boarding_passes t2 ON t1.status = t2.seat_no",29940
"SELECT flight_id, COUNT(fare_conditions) FROM ticket_flights GROUP BY flight_id",97023
"SELECT book_ref, AVG(total_amount) FROM bookings GROUP BY book_ref",630
"SELECT t1.ticket_no, t2.book_ref FROM ticket_flights t1 JOIN bookings t2 ON t1.ticket_no = t2.book_ref",78536
"SELECT seat_no, aircraft_code FROM seats WHERE seat_no = '283181'",781
"SELECT amount, fare_conditions FROM ticket_flights WHERE amount = '749402'",32124
"SELECT contact_data, passenger_name FROM tickets WHERE contact_data = '561528'",9027
"SELECT total_amount, MIN(book_ref) FROM bookings GROUP BY total_amount",58592
"SELECT flight_id, AVG(fare_conditions) FROM ticket_flights GROUP BY flight_id",736
"SELECT actual_departure, departure_airport FROM flights WHERE actual_departure = '208329'",1652
"SELECT coordinates, AVG(city) FROM airports_data GROUP BY coordinates",2873
"SELECT total_amount, AVG(book_ref) FROM bookings GROUP BY total_amount",757
"SELECT fare_conditions, aircraft_code FROM seats WHERE fare_conditions = '402771'",548
"SELECT airport_code, AVG(coordinates) FROM airports_data GROUP BY airport_code",949
"SELECT status, scheduled_departure FROM flights WHERE status = '488353'",1548
"SELECT range, aircraft_code FROM aircrafts_data WHERE range = '666165'",3277
"SELECT t1.airport_name, t2.book_ref FROM airports_data t1 JOIN bookings t2 ON t1.airport_name = t2.book_ref",834
"SELECT book_ref, total_amount FROM bookings WHERE book_ref = '239371'",8462
"SELECT aircraft_code, aircraft_code FROM seats WHERE aircraft_code = '119368'",461
"SELECT aircraft_code, aircraft_code FROM aircrafts_data WHERE aircraft_code = '451369'",655
"SELECT flight_no, scheduled_departure FROM flights WHERE flight_no = '181405'",612
"SELECT t1.arrival_airport, t2.airport_name FROM flights t1 JOIN airports_data t2 ON t1.arrival_airport = t2.airport_name",5980
"SELECT boarding_no, boarding_no FROM boarding_passes WHERE boarding_no = '478933'",35134
"SELECT passenger_id, AVG(book_ref) FROM tickets GROUP BY passenger_id",1282
"SELECT t1.aircraft_code, t2.ticket_no FROM seats t1 JOIN ticket_flights t2 ON t1.aircraft_code = t2.ticket_no",120238
"SELECT ticket_no, flight_id FROM boarding_passes WHERE ticket_no = '862617'",637
"SELECT t1.fare_conditions, t2.book_ref FROM ticket_flights t1 JOIN bookings t2 ON t1.fare_conditions = t2.book_ref",70051
"SELECT seat_no, boarding_no FROM boarding_passes WHERE seat_no = '201775'",9772
"SELECT contact_data, ticket_no FROM tickets WHERE contact_data = '365066'",9112
"SELECT t1.book_ref, t2.city FROM bookings t1 JOIN airports_data t2 ON t1.book_ref = t2.city",1227
"SELECT t1.flight_no, t2.ticket_no FROM flights t1 JOIN tickets t2 ON t1.flight_no = t2.ticket_no",18240
"SELECT t1.book_ref, t2.fare_conditions FROM bookings t1 JOIN ticket_flights t2 ON t1.book_ref = t2.fare_conditions",77297
"SELECT t1.departure_airport, t2.airport_code FROM flights t1 JOIN airports_data t2 ON t1.departure_airport = t2.airport_code",524
"SELECT airport_name, AVG(airport_code) FROM airports_data GROUP BY airport_name",730
"SELECT t1.flight_no, t2.fare_conditions FROM flights t1 JOIN ticket_flights t2 ON t1.flight_no = t2.fare_conditions",73662
"SELECT t1.departure_airport, t2.aircraft_code FROM flights t1 JOIN seats t2 ON t1.departure_airport = t2.aircraft_code",5280
"SELECT aircraft_code, COUNT(fare_conditions) FROM seats GROUP BY aircraft_code",861
"SELECT t1.airport_name, t2.aircraft_code FROM airports_data t1 JOIN seats t2 ON t1.airport_name = t2.aircraft_code",11759
"SELECT book_ref, total_amount FROM bookings WHERE book_ref = '739615'",10198
"SELECT airport_code, AVG(city) FROM airports_data GROUP BY airport_code",637
"SELECT seat_no, boarding_no FROM boarding_passes WHERE seat_no = '919002'",16540
"SELECT t1.city, t2.fare_conditions FROM airports_data t1 JOIN ticket_flights t2 ON t1.city = t2.fare_conditions",46388
"SELECT t1.aircraft_code, t2.aircraft_code FROM seats t1 JOIN flights t2 ON t1.aircraft_code = t2.aircraft_code",1018
"SELECT t1.ticket_no, t2.timezone FROM ticket_flights t1 JOIN airports_data t2 ON t1.ticket_no = t2.timezone",1301
"SELECT ticket_no, amount FROM ticket_flights WHERE ticket_no = '239757'",835
"SELECT range, aircraft_code FROM aircrafts_data WHERE range = '260523'",580
"SELECT total_amount, total_amount FROM bookings WHERE total_amount > 453",756
"SELECT aircraft_code, SUM(range) FROM aircrafts_data GROUP BY aircraft_code",633
"SELECT aircraft_code, range FROM aircrafts_data WHERE aircraft_code = '788304'",932
"SELECT aircraft_code, aircraft_code FROM aircrafts_data WHERE aircraft_code = '327886'",487
"SELECT ticket_no, COUNT(fare_conditions) FROM ticket_flights GROUP BY ticket_no",121547
"SELECT aircraft_code, aircraft_code FROM aircrafts_data WHERE aircraft_code = '611925'",651
"SELECT t1.fare_conditions, t2.aircraft_code FROM seats t1 JOIN aircrafts_data t2 ON t1.fare_conditions = t2.aircraft_code",1260
"SELECT timezone, city FROM airports_data WHERE timezone = '181169'",662
"SELECT ticket_no, MIN(seat_no) FROM boarding_passes GROUP BY ticket_no",125655
"SELECT aircraft_code, range FROM aircrafts_data WHERE aircraft_code = '237751'",669
"SELECT aircraft_code, COUNT(seat_no) FROM seats GROUP BY aircraft_code",817
"SELECT coordinates, timezone FROM airports_data WHERE coordinates = '107715'",475
"SELECT passenger_name, SUM(ticket_no) FROM tickets GROUP BY passenger_name",52987
"SELECT t1.city, t2.model FROM airports_data t1 JOIN aircrafts_data t2 ON t1.city = t2.model",919
"SELECT passenger_id, ticket_no FROM tickets WHERE passenger_id = '144243'",8777
"SELECT seat_no, AVG(flight_id) FROM boarding_passes GROUP BY seat_no",113531
